exp,rho,sigma,seed,m,absorbed,cos_comp,rec,wall_s,n11,n10,n01,rho_count,rho_c,rho_x,rho_d,ties,lo_is_comp,m_n11,m_n10,m_n01,m_rho_count,m_rho_c,m_rho_x,m_rho_d,m_ties,m_lo_is_comp,rho_d_t002,rho_d_t010,a1,a0,g0,g1,b_p,b_c,n_j11,n_s11,delta_J,delta_S,q11_B,q10_B,q01_B,pi_B,h_B,b11_frac,rho_real,rho_d_auto,q,p0,cos_child
SC,0.5,0.1,57,32,1,0.9945,0.6089,443.8,19951,11026,12788,0.7078,0.74806,0.537,0.49965,0,0,19951,8120,9503,0.74709,0.78389,0.53924,0.49454,0,0,0.50171,0.49614,1.0,0.57254,1.0,0.48848,0.02585,0.02922,9075,10876,0.0,0.00037,0.0,0.02585,0.02922,nan,0.53061,0.0,0.49444,0.50035,,,
SC,0.5,0.1,58,32,1,0.9917,0.6076,443.8,19243,12347,12260,0.71843,0.71843,0.49823,0.50769,0,1,19240,9483,8945,0.74825,0.74825,0.4854,0.50292,0,1,0.5115,0.50419,1.0,0.49367,1.0,0.52769,0.02552,0.02954,9994,9246,0.0,0.00054,3e-05,0.0255,0.02951,1.0,0.53672,7e-05,0.50279,0.50769,,,
SC,0.5,0.1,59,32,1,0.9934,0.6054,443.8,17638,10243,16492,0.62833,0.76916,0.61687,0.49814,0,0,17634,6773,13323,0.64689,0.82049,0.66297,0.5018,0,0,0.49724,0.49896,1.0,0.63993,1.0,0.29582,0.03094,0.02826,5597,12037,0.0,0.00108,4e-05,0.03091,0.02823,0.5,0.47734,9e-05,0.50146,0.50186,,,
SC,0.5,0.1,60,32,1,0.9924,0.6104,443.8,19425,12276,12790,0.71253,0.72408,0.51025,0.49828,0,0,19424,8788,9458,0.74892,0.76671,0.51836,0.50003,0,0,0.49941,0.49733,1.0,0.53347,1.0,0.4978,0.03106,0.02967,9375,10049,0.0,0.0003,1e-05,0.03105,0.02966,1.0,0.48864,2e-05,0.49995,0.50172,,,
SC,0.5,0.1,61,32,1,0.9914,0.6129,443.8,20474,12966,10871,0.70739,0.70739,0.45606,0.49719,0,1,20472,9462,7638,0.74816,0.74816,0.44667,0.50027,0,1,0.49742,0.49746,1.0,0.49625,1.0,0.59349,0.03118,0.02877,11151,9321,0.0,0.00075,2e-05,0.03117,0.02876,1.0,0.48004,5e-05,0.50008,0.49719,,,
SC,0.5,0.1,62,32,1,0.9883,0.611,443.8,19672,11720,13120,0.70525,0.7367,0.52818,0.50052,0,0,19669,8144,9629,0.74283,0.78249,0.54178,0.50176,0,0,0.50268,0.49956,1.0,0.56351,1.0,0.48738,0.0318,0.03104,9155,10514,0.0,0.00029,3e-05,0.03177,0.03102,0.33333,0.49392,7e-05,0.50168,0.49948,,,
SC,0.5,0.1,63,32,1,0.986,0.6124,443.8,23181,10226,11838,0.73836,0.77399,0.53653,0.50067,0,0,23173,6410,8021,0.7867,0.82954,0.55582,0.50082,0,0,0.50262,0.49921,1.0,0.65861,1.0,0.57399,0.03402,0.03403,10807,12366,0.0,0.0004,7e-05,0.03395,0.03396,0.375,0.49993,0.00018,0.50069,0.49933,,,
SC,0.7,0.0,40,32,1,0.9934,0.0879,443.8,1,11115,26122,0.29851,0.70151,0.70151,0.70149,0,0,1,11115,26122,0.29851,0.70151,0.70151,0.70149,0,0,0.70149,0.70149,1.0,9e-05,1.0,0.0,0.0,0.0,0,1,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.70149,0.29851,,,
SC,0.7,0.0,41,32,1,0.9932,0.0945,443.8,1694,11239,24708,0.34359,0.70142,0.68735,0.69863,0,0,1694,11238,24708,0.34357,0.70143,0.68736,0.69865,0,0,0.69855,0.69865,1.0,0.00926,1.0,0.06043,1e-05,0.0,1589,105,0.0,0.0,0.0,1e-05,0.0,nan,0.0,0.0,0.69865,0.30137,,,
SC,0.7,0.0,42,32,0,0.9876,0.1865,443.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
