beta_mult,eps,seed,rec,phi_func,rho_func,act_child,inv
4.0,0.025,7,0.2237,85.6,0.975,0.872,"[[0.979, -0.5], [0.975, 85.6]]"
4.0,0.03,0,0.1623,84.6,0.985,0.881,"[[0.985, 84.6], [0.966, 0.1]]"
4.0,0.03,1,0.2923,87.8,0.957,0.857,"[[0.961, 5.7], [0.957, 87.8]]"
4.0,0.03,2,0.0901,84.2,0.976,0.87,"[[0.976, 84.2], [0.968, 0.5]]"
4.0,0.03,3,0.2354,83.4,0.977,0.87,"[[0.977, 83.4], [0.973, 0.6]]"
4.0,0.03,4,0.0886,85.1,0.978,0.874,"[[0.979, -0.5], [0.978, 85.1]]"
4.0,0.03,5,0.0848,89.0,0.982,0.881,"[[0.982, 89.0], [0.978, 4.1]]"
4.0,0.03,6,0.1595,85.9,0.973,0.871,"[[0.973, 85.9], [0.957, 2.3]]"
4.0,0.03,7,0.2405,86.2,0.974,0.871,"[[0.982, -0.3], [0.974, 86.2]]"
4.0,0.04,0,0.302,85.1,0.988,0.884,"[[0.988, 85.1], [0.968, 0.2]]"
4.0,0.04,1,0.2307,88.3,0.962,0.861,"[[0.966, 5.5], [0.962, 88.3]]"
4.0,0.04,2,0.2392,84.5,0.979,0.874,"[[0.979, 84.5], [0.971, 0.4]]"
4.0,0.04,3,0.2332,84.1,0.979,0.874,"[[0.979, 84.1], [0.971, 1.0]]"
4.0,0.04,4,0.2302,85.6,0.981,0.878,"[[0.981, 85.6], [0.977, -0.2]]"
4.0,0.04,5,0.0874,89.3,0.983,0.881,"[[0.983, 89.3], [0.978, 4.2]]"
4.0,0.04,6,0.1553,86.6,0.974,0.872,"[[0.974, 86.6], [0.959, 3.0]]"
4.0,0.04,7,0.3188,86.6,0.976,0.874,"[[0.981, 0.0], [0.976, 86.6]]"
