q,lam,eps,seed,phi_child,has_parent,loss,top_latents
0.2,0.1,0.08,2,84.4363784790039,1,0.32406753301620483,"[[0.990382969379425, 1.3350191116333008], [0.9900521039962769, 84.4363784790039]]"
0.2,0.1,0.12,0,87.09102630615234,1,0.33518385887145996,"[[0.9949440956115723, 87.09102630615234], [0.9835084080696106, 1.199385404586792]]"
0.2,0.1,0.12,1,88.59549713134766,1,0.3308839201927185,"[[0.9884313941001892, 88.59549713134766], [0.9864202737808228, 4.617083549499512]]"
0.2,0.1,0.12,2,86.1295166015625,1,0.3297005891799927,"[[0.9910738468170166, 1.3119667768478394], [0.9895302057266235, 86.1295166015625]]"
0.2,0.1,0.18,0,88.23974609375,1,0.3412770628929138,"[[0.9949036240577698, 88.23974609375], [0.9844000935554504, 1.1170507669448853]]"
0.2,0.1,0.18,1,89.86274719238281,1,0.337157666683197,"[[0.9895943403244019, 89.86274719238281], [0.9883004426956177, 4.512672424316406]]"
0.2,0.1,0.18,2,87.47777557373047,1,0.3365137279033661,"[[0.9920186996459961, 1.0654083490371704], [0.9893503189086914, 87.47777557373047]]"
0.2,0.2,0.0,0,45.911258697509766,1,0.6231219172477722,"[[0.9788767099380493, 45.911258697509766], [0.9739525318145752, -0.7563462853431702]]"
0.2,0.2,0.0,1,44.598670959472656,1,0.6059356927871704,"[[0.9889591336250305, 44.598670959472656], [0.9763503074645996, 0.536851704120636]]"
0.2,0.2,0.0,2,47.04931640625,1,0.6055259704589844,"[[0.9874094724655151, 47.04931640625], [0.9834179878234863, -1.3783953189849854]]"
0.2,0.2,0.005,0,46.180355072021484,1,0.6265291571617126,"[[0.9788304567337036, 46.180355072021484], [0.9739593267440796, -0.8548767566680908]]"
0.2,0.2,0.005,1,44.87834167480469,1,0.6095457673072815,"[[0.9887692332267761, 44.87834167480469], [0.9763116836547852, 0.4170003831386566]]"
0.2,0.2,0.005,2,47.55757522583008,1,0.6084951162338257,"[[0.9872495532035828, 47.55757522583008], [0.9833760857582092, -1.4587291479110718]]"
0.2,0.2,0.01,0,46.470787048339844,1,0.6291120052337646,"[[0.9788029789924622, 46.470787048339844], [0.9739524126052856, -0.9500652551651001]]"
0.2,0.2,0.01,1,45.15240478515625,1,0.6124805212020874,"[[0.9885779619216919, 45.15240478515625], [0.9762475490570068, 0.3011181652545929]]"
0.2,0.2,0.01,2,48.79535675048828,1,0.6129472851753235,"[[0.9871516823768616, 48.79535675048828], [0.9831682443618774, -1.5136077404022217]]"
0.2,0.2,0.02,0,47.449005126953125,1,0.6344582438468933,"[[0.9787434935569763, 47.449005126953125], [0.9737561941146851, -1.1689808368682861]]"
0.2,0.2,0.02,1,45.705772399902344,1,0.6191496253013611,"[[0.988187313079834, 45.705772399902344], [0.9761471152305603, 0.05191142112016678]]"
0.2,0.2,0.02,2,48.35126495361328,1,0.6159444451332092,"[[0.9884552955627441, 48.35126495361328], [0.9836180806159973, -2.2988221645355225]]"
0.2,0.2,0.03,0,57.372474670410156,1,0.6410019993782043,"[[0.9815660119056702, 57.372474670410156], [0.9710480570793152, -0.34934449195861816]]"
0.2,0.2,0.03,1,46.56111145019531,1,0.6275457739830017,"[[0.9875883460044861, 46.56111145019531], [0.9756777286529541, -0.16283957660198212]]"
0.2,0.2,0.03,2,71.33599090576172,1,0.6267089247703552,"[[0.9859228730201721, 71.33599090576172], [0.9721902012825012, 0.805291473865509]]"
0.2,0.2,0.05,0,73.8322525024414,1,0.6488043665885925,"[[0.9842278957366943, 73.8322525024414], [0.9651045203208923, 1.934529185295105]]"
0.2,0.2,0.05,1,79.09998321533203,1,0.6401233077049255,"[[0.962243914604187, 6.112316131591797], [0.9616069197654724, 79.09998321533203]]"
0.2,0.2,0.05,2,77.18547821044922,1,0.6343352794647217,"[[0.9834256172180176, 77.18547821044922], [0.9709782004356384, 1.778727650642395]]"
0.2,0.2,0.08,0,81.0804672241211,1,0.6566811800003052,"[[0.9825701713562012, 81.0804672241211], [0.9653280377388, 3.2192249298095703]]"
0.2,0.2,0.08,1,83.80921936035156,1,0.6477491855621338,"[[0.9653659462928772, 6.812228202819824], [0.9632396697998047, 83.80921936035156]]"
0.2,0.2,0.08,2,81.84122467041016,1,0.6429223418235779,"[[0.9807713031768799, 81.84122467041016], [0.9716746807098389, 2.5744214057922363]]"
0.2,0.2,0.12,0,84.91371154785156,1,0.6665862202644348,"[[0.9817373156547546, 84.91371154785156], [0.9666438102722168, 3.821519136428833]]"
0.2,0.2,0.12,1,87.02830505371094,1,0.6546263098716736,"[[0.9687487483024597, 7.284063816070557], [0.9662312865257263, 87.02830505371094]]"
0.2,0.2,0.12,2,84.7632827758789,1,0.653755247592926,"[[0.9791090488433838, 84.7632827758789], [0.9735227823257446, 2.9191534519195557]]"
0.2,0.2,0.18,0,87.54222869873047,1,0.6792255640029907,"[[0.9803087115287781, 87.54222869873047], [0.9682225584983826, 4.022616863250732]]"
0.2,0.2,0.18,1,89.39114379882812,1,0.6675297617912292,"[[0.9716914296150208, 7.446406364440918], [0.9686304926872253, 89.39114379882812]]"
