cond,rho,eps,b_rate,sigma,seed,absorbed,cos_comp,cos_child,cos_b,n_flagged,tp_flagged,fp_count,tp_cos,tp_lift,rate_i,rate_j,rec,orient_ok,child_res_cos,rho_hat
A,0.2,0.0,0.0,0.1,11,1,0.9915,0.7598,0.716,1,1,0,0.5991,2.9498,0.16415,0.25711,0.6031,1,0.986,0.55311
A,0.2,0.0,0.0,0.1,12,1,0.9865,0.7609,0.7017,1,1,0,0.5502,2.9756,0.25716,0.19159,0.6107,1,0.9831,0.63411
A,0.2,0.0,0.0,0.1,13,1,0.9914,0.7381,0.6795,1,1,0,0.6149,2.9781,0.24716,0.16725,0.6072,1,0.9841,0.57415
A,0.2,0.0,0.0,0.1,14,1,0.9945,0.7156,0.7083,1,1,0,0.6475,2.9029,0.24617,0.16798,0.6046,1,0.981,0.57113
A,0.2,0.0,0.0,0.1,15,1,0.9956,0.7344,0.6909,1,1,0,0.581,2.9982,0.20611,0.25091,0.6111,1,0.9758,0.68255
CD,0.0,0.0,0.03,0.0,0,0,0.6878,0.0475,0.9787,1,1,0,0.6985,2.1601,0.0482,0.24988,0.0971,1,0.9636,0.17715
CD,0.0,0.0,0.03,0.0,1,0,0.7138,0.044,0.9857,0,0,0,0.6843,1.0276,0.03084,0.25023,0.09,,,
CD,0.0,0.0,0.03,0.0,2,0,0.6872,0.0342,0.9908,0,0,0,0.6663,1.0219,0.24969,0.02951,0.0908,,,
CD,0.0,0.0,0.03,0.0,3,0,0.6948,0.1954,0.7276,0,0,0,1.0,3.6536,0.2737,0.2737,0.0998,,,
CD,0.0,0.0,0.03,0.0,4,0,0.6911,0.0393,0.7432,0,0,0,0.1124,3.6792,0.02976,0.2718,0.0862,,,
CD,0.0,0.0,0.03,0.0,5,0,0.7199,0.0409,0.9826,1,1,0,0.6804,2.2041,0.25039,0.05032,0.0889,1,0.9754,0.18437
CD,0.0,0.0,0.03,0.0,6,0,0.7062,0.0441,0.7651,1,0,1,1.0,3.6486,0.27408,0.27408,0.0974,,,
CD,0.0,0.0,0.03,0.0,7,0,0.6785,0.3035,0.734,0,0,0,1.0,3.6472,0.27419,0.27419,0.1723,,,
CD,0.0,0.0,0.03,0.0,8,0,0.6771,0.0517,0.9918,0,0,0,0.6897,0.9977,0.25011,0.0305,0.0887,,,
CD,0.0,0.0,0.03,0.0,9,0,0.6707,0.0425,0.9879,0,0,0,0.6622,1.1221,0.03285,0.25039,0.0923,,,
CD,0.0,0.0,0.03,0.0,10,0,0.6665,0.079,0.7415,0,0,0,1.0,3.6796,0.27177,0.27177,0.1057,,,
CD,0.0,0.0,0.03,0.0,11,0,0.699,0.2705,0.7756,0,0,0,1.0,3.6506,0.27393,0.27393,0.1676,,,
CD,0.0,0.0,0.03,0.0,12,0,0.6799,0.1602,0.7639,0,0,0,1.0,3.6783,0.27187,0.27187,0.1034,,,
CD,0.0,0.0,0.03,0.0,13,0,0.696,0.1859,0.7269,0,0,0,1.0,3.6833,0.27149,0.27149,0.1022,,,
CD,0.0,0.0,0.03,0.0,14,0,0.7029,0.0293,0.7507,2,0,2,1.0,3.6607,0.27317,0.27317,0.0976,,,
CD,0.0,0.0,0.03,0.0,15,0,0.6865,0.0429,0.7453,0,0,0,1.0,3.6564,0.27349,0.27349,0.1075,,,
CD,0.0,0.0,0.1,0.0,0,0,0.6891,0.2232,0.8106,0,0,0,1.0,3.0749,0.32521,0.32521,0.1322,,,
CD,0.0,0.0,0.1,0.0,1,0,0.6949,0.2116,0.8461,0,0,0,1.0,3.0669,0.32606,0.32606,0.1825,,,
CD,0.0,0.0,0.1,0.0,2,0,0.6867,0.0356,0.9879,0,0,0,0.6585,1.0456,0.25057,0.09927,0.0926,,,
CD,0.0,0.0,0.1,0.0,3,0,0.6937,0.037,0.9791,0,0,0,0.6861,1.6438,0.25124,0.12856,0.0942,,,
CD,0.0,0.0,0.1,0.0,4,0,0.6923,0.0362,0.9778,0,0,0,0.6713,1.1483,0.10551,0.24965,0.0893,,,
CD,0.0,0.0,0.1,0.0,5,0,0.7192,0.0411,0.98,0,0,0,0.6725,1.203,0.10799,0.25039,0.0915,,,
CD,0.0,0.0,0.1,0.0,6,0,0.6943,0.0726,0.8399,0,0,0,1.0,3.0641,0.32637,0.32637,0.1166,,,
CD,0.0,0.0,0.1,0.0,7,0,0.6532,0.0439,0.8081,0,0,0,1.0,3.0574,0.32708,0.32708,0.1313,,,
CD,0.0,0.0,0.1,0.0,8,0,0.6619,0.1889,0.8402,0,0,0,1.0,3.0671,0.32604,0.32604,0.1892,,,
CD,0.0,0.0,0.1,0.0,9,0,0.6633,0.1034,0.8268,0,0,0,1.0,3.0667,0.32608,0.32608,0.1268,,,
CD,0.0,0.0,0.1,0.0,10,0,0.67,0.048,0.989,0,0,0,0.6671,1.0168,0.24984,0.10018,0.0956,,,
CD,0.0,0.0,0.1,0.0,11,0,0.7061,0.0422,0.9895,0,0,0,0.7142,1.0045,0.10022,0.25132,0.086,,,
CD,0.0,0.0,0.1,0.0,12,0,0.6786,0.0281,0.9879,0,0,0,0.6887,1.0642,0.24954,0.10265,0.0962,,,
CD,0.0,0.0,0.1,0.0,13,0,0.6937,0.0265,0.9759,0,0,0,0.6748,1.1353,0.24954,0.10265,0.0939,,,
CD,0.0,0.0,0.1,0.0,14,0,0.7103,0.0321,0.9877,0,0,0,0.693,0.9916,0.10015,0.25108,0.0846,,,
CD,0.0,0.0,0.1,0.0,15,0,0.6677,0.2897,0.8404,0,0,0,1.0,3.0684,0.3259,0.3259,0.1289,,,
CDX,0.0,0.0,0.03,0.0,0,0,0.6909,0.047,0.7029,0,0,0,1.0,3.6756,0.27207,0.27207,0.1054,,,
CDX,0.0,0.0,0.03,0.0,1,0,0.7136,0.0444,0.9843,1,1,0,0.6877,0.0181,0.25005,0.0232,0.0871,1,0.9677,0.08492
CDX,0.0,0.0,0.03,0.0,2,0,0.6866,0.0337,0.9897,1,1,0,0.6644,0.0145,0.24968,0.02207,0.091,1,0.9838,0.08122
CDX,0.0,0.0,0.03,0.0,3,0,0.6949,0.0372,0.7015,0,0,0,1.0,3.6536,0.2737,0.2737,0.1018,,,
CDX,0.0,0.0,0.03,0.0,4,0,0.6918,0.0356,0.7037,0,0,0,1.0,3.6792,0.2718,0.2718,0.098,,,
CDX,0.0,0.0,0.03,0.0,5,0,0.7187,0.0397,0.6923,2,0,2,1.0,3.7712,0.26517,0.26517,0.0969,,,
CDX,0.0,0.0,0.03,0.0,6,0,0.7008,0.0431,0.7178,1,0,1,1.0,3.6486,0.27408,0.27408,0.1017,,,
CDX,0.0,0.0,0.03,0.0,7,0,0.6809,0.0672,0.7094,0,0,0,1.0,3.6472,0.27419,0.27419,0.1038,,,
CDX,0.0,0.0,0.03,0.0,8,0,0.6767,0.1477,0.7138,0,0,0,1.0,3.663,0.273,0.273,0.1027,,,
CDX,0.0,0.0,0.03,0.0,9,0,0.6725,0.0497,0.7055,0,0,0,1.0,3.6494,0.27402,0.27402,0.1033,,,
CDX,0.0,0.0,0.03,0.0,10,0,0.6704,0.0474,0.9893,1,1,0,0.6697,0.0316,0.02218,0.24976,0.0918,1,0.993,0.08163
CDX,0.0,0.0,0.03,0.0,11,0,0.707,0.0433,0.993,1,1,0,0.7064,0.0,0.25132,0.02261,0.0834,1,0.9795,0.08256
CDX,0.0,0.0,0.03,0.0,12,0,0.6781,0.0271,0.9913,1,1,0,0.6838,0.1442,0.02337,0.24934,0.0931,1,0.9801,0.08596
CDX,0.0,0.0,0.03,0.0,13,0,0.6949,0.0298,0.6997,1,0,1,1.0,3.6924,0.27082,0.27082,0.1,,,
CDX,0.0,0.0,0.03,0.0,14,0,0.7063,0.1111,0.7258,0,0,0,1.0,3.6607,0.27317,0.27317,0.0915,,,
CDX,0.0,0.0,0.03,0.0,15,0,0.6885,0.0439,0.9924,1,1,0,0.6756,0.3081,0.02359,0.25175,0.0944,1,0.9765,0.08625
F,0.1,0.0152,0.0,0.0,0,0,0.7673,0.3659,0.6797,0,0,0,1.0,3.9991,0.25006,0.25006,0.1308,,,
F,0.1,0.0152,0.0,0.0,1,0,0.7978,0.9704,0.6985,0,0,0,0.1738,2.8787,0.04045,0.24994,0.0898,,,
F,0.1,0.0152,0.0,0.0,2,0,0.8204,0.973,0.6916,0,0,0,0.1681,2.8567,0.24964,0.0403,0.0901,,,
F,0.1,0.0152,0.0,0.0,3,0,0.8272,0.9672,0.6775,0,0,0,0.1906,2.8428,0.04011,0.25124,0.0917,,,
F,0.1,0.0152,0.0,0.0,4,0,0.7893,0.9762,0.6806,0,0,0,0.1362,2.8838,0.03986,0.24959,0.0869,,,
F,0.1,0.0152,0.0,0.0,5,0,0.7949,0.9817,0.6709,0,0,0,0.1717,2.8497,0.25039,0.04016,0.0891,,,
F,0.1,0.0152,0.0,0.0,6,0,0.7792,0.1362,0.6966,0,0,0,1.0,3.9559,0.25278,0.25278,0.1194,,,
F,0.1,0.0152,0.0,0.0,7,0,0.7585,0.9778,0.6861,0,0,0,0.0763,2.8228,0.04038,0.25123,0.0938,,,
F,0.1,0.0152,0.0,0.0,8,0,0.8453,0.9596,0.6864,0,0,0,0.1967,2.878,0.04019,0.25011,0.0919,,,
F,0.1,0.0152,0.0,0.0,9,0,0.8018,0.9801,0.6765,0,0,0,0.1148,2.8314,0.04025,0.25035,0.0918,,,
F,0.1,0.0152,0.0,0.0,10,0,0.7547,0.1326,0.6833,0,0,0,1.0,4.0045,0.24972,0.24972,0.1951,,,
F,0.1,0.0152,0.0,0.0,11,0,0.7774,0.9842,0.7195,0,0,0,0.1209,2.8678,0.04045,0.25132,0.0819,,,
F,0.1,0.0152,0.0,0.0,12,0,0.7656,0.303,0.7044,0,0,0,1.0,4.0108,0.24932,0.24932,0.1239,,,
F,0.1,0.0152,0.0,0.0,13,0,0.9112,0.9177,0.6783,0,0,0,0.3589,2.8437,0.04043,0.24946,0.092,,,
