block,m_children,rho1,rho2,rho3,sigma,m_lat,seed,absorbed,cos_comp,cos_parent,cos_child,comp_idx,parent_idx,rec,comp_fire_rate,rho_hat_gmm,gmm_mu_lo,gmm_mu_hi,gmm_w_hi,n_fire,rho_hat_bin,fire|host_only,fire|joint,act|host_only,act|joint,tv_full,tv_null,tv_inplane,tv_inplane_null,tv_cond,h4_mus,h4_ws
S,1,0.1,0,0,0.0,32,7,0,0.7526,0.9842,0.0802,24,24,0.1072,0.25124,0.46228,0.8702,0.8727,0.46228,50248,1.0,1.0,1.0,0.8633,0.9443,,,,,,,
S,1,0.1,0,0,0.0,32,8,1,0.9946,0.9777,0.7281,25,8,0.087,0.1449,0.17571,0.0216,1.2844,0.17571,28980,0.13886,0.5317,1.0,0.0216,1.2844,,,,,,,
S,1,0.1,0,0,0.0,32,9,0,0.7476,0.9861,0.0712,4,4,0.1056,0.25037,0.07389,0.8683,0.8865,0.07389,50073,1.0,1.0,1.0,0.8625,0.9341,,,,,,,
S,1,0.1,0,0,0.0,32,10,1,0.9888,0.9777,0.7356,13,5,0.0923,0.11335,0.22284,0.0228,1.2775,0.22284,22671,0.1338,0.3925,1.0,0.0228,1.2775,,,,,,,
S,1,0.1,0,0,0.0,32,11,1,0.9943,0.9837,0.7183,4,2,0.0834,0.02563,0.26341,1.2864,1.3083,0.26341,5126,0.10198,0.0,1.0,nan,1.2922,,,,,,,
S,1,0.1,0,0,0.0,32,12,0,0.7576,0.9771,0.0944,18,18,0.1087,0.24916,0.35054,0.8635,0.8782,0.35054,49832,1.0,1.0,1.0,0.8593,0.9552,,,,,,,
S,1,0.1,0,0,0.0,32,13,1,0.9915,0.9843,0.7119,2,31,0.0885,0.02529,0.99886,0.3636,1.2843,0.99886,5058,0.1013,0.0001,1.0,0.0086,1.2842,,,,,,,
S,1,0.1,0,0,0.0,32,14,1,0.9946,0.9889,0.691,24,30,0.0826,0.02494,0.9996,0.0027,1.2932,0.9996,4988,0.09931,0.0,1.0,0.0027,1.2932,,,,,,,
S,1,0.1,0,0,0.0,32,15,1,0.9963,0.977,0.7105,21,18,0.0925,0.19371,0.13076,0.0336,1.286,0.13076,38742,0.24153,0.7465,1.0,0.0336,1.286,,,,,,,
S,1,0.1,0,0,0.05,32,0,1,0.9851,0.9768,0.7116,9,13,0.2329,0.16031,0.15655,0.0583,1.2581,0.15655,32061,0.36777,0.5791,1.0,0.0597,1.2581,,,,,,,
S,1,0.1,0,0,0.05,32,1,0,0.7897,0.9726,0.1441,11,11,0.2449,0.26498,0.94298,0.021,0.87,0.94298,52996,1.0,1.0,1.0,0.8554,0.9987,,,,,,,
S,1,0.1,0,0,0.05,32,2,1,0.9924,0.9863,0.7289,6,8,0.2274,0.15743,0.16175,0.056,1.26,0.16175,31486,0.35439,0.5725,1.0,0.057,1.26,,,,,,,
S,1,0.1,0,0,0.05,32,3,0,0.7777,0.98,0.1382,26,26,0.2487,0.26605,0.94418,0.0218,0.8685,0.94418,53210,1.0,1.0,1.0,0.8561,0.9777,,,,,,,
S,1,0.1,0,0,0.05,32,4,1,0.9822,0.9855,0.7016,14,4,0.225,0.14752,0.17188,0.0541,1.2508,0.17188,29503,0.32652,0.5289,1.0,0.055,1.2508,,,,,,,
S,1,0.1,0,0,0.05,32,5,0,0.7846,0.9777,0.1618,0,0,0.2491,0.26472,0.94588,0.0216,0.8689,0.94588,52944,1.0,1.0,1.0,0.8556,0.9853,,,,,,,
S,1,0.1,0,0,0.05,32,6,1,0.9924,0.9756,0.718,20,30,0.2266,0.16036,0.15599,0.0583,1.2661,0.15599,32072,0.36626,0.5778,1.0,0.0596,1.2661,,,,,,,
S,1,0.1,0,0,0.05,32,7,1,0.9868,0.9867,0.701,26,6,0.23,0.1747,0.1435,0.0638,1.2564,0.1435,34940,0.42215,0.6413,1.0,0.0651,1.2564,,,,,,,
S,1,0.1,0,0,0.05,32,8,1,0.9953,0.9773,0.7321,27,20,0.2292,0.19148,0.13296,0.0705,1.2682,0.13296,38296,0.49489,0.7134,1.0,0.0722,1.2682,,,,,,,
S,1,0.1,0,0,0.05,32,9,0,0.7502,0.9871,0.0738,11,11,0.2538,0.2609,0.9596,0.0194,0.8709,0.9596,52180,1.0,1.0,1.0,0.8635,0.937,,,,,,,
S,1,0.1,0,0,0.05,32,10,1,0.9906,0.9785,0.741,31,9,0.2288,0.17952,0.14071,0.0656,1.2576,0.14071,35903,0.44376,0.6618,1.0,0.0672,1.2576,,,,,,,
S,1,0.1,0,0,0.05,32,11,1,0.9952,0.9858,0.7285,24,18,0.2225,0.13134,0.19513,0.0498,1.2594,0.19513,26269,0.27783,0.4536,1.0,0.0507,1.2594,,,,,,,
S,1,0.1,0,0,0.05,32,12,1,0.9893,0.9838,0.734,17,11,0.2296,0.17408,0.14203,0.0612,1.2565,0.14203,34816,0.412,0.6418,1.0,0.0626,1.2565,,,,,,,
S,1,0.1,0,0,0.05,32,13,1,0.9926,0.986,0.7218,20,2,0.2251,0.1422,0.1777,0.0518,1.2619,0.1777,28441,0.30694,0.5065,1.0,0.0527,1.2619,,,,,,,
S,1,0.1,0,0,0.05,32,14,1,0.9949,0.9902,0.694,25,17,0.2221,0.14287,0.17449,0.0535,1.2735,0.17449,28574,0.31277,0.5077,1.0,0.0544,1.2735,,,,,,,
S,1,0.1,0,0,0.05,32,15,1,0.9967,0.9785,0.7145,19,18,0.2297,0.20303,0.12476,0.076,1.2708,0.12476,40607,0.54896,0.7657,1.0,0.0775,1.2708,,,,,,,
S,1,0.1,0,0,0.1,32,0,1,0.9812,0.9752,0.7258,20,8,0.6136,0.24133,0.10399,0.1075,1.2125,0.10399,48265,0.58764,0.7124,1.0,0.1259,1.2125,,,,,,,
S,1,0.1,0,0,0.1,32,1,1,0.9905,0.9743,0.7076,23,17,0.6102,0.24399,0.10498,0.1144,1.2271,0.10498,48798,0.61542,0.7433,1.0,0.1328,1.2272,,,,,,,
S,1,0.1,0,0,0.1,32,2,1,0.9873,0.9833,0.7583,23,7,0.6084,0.23689,0.1075,0.1037,1.2083,0.1075,47377,0.57379,0.6993,1.0,0.121,1.2083,,,,,,,
S,1,0.1,0,0,0.1,32,3,1,0.9918,0.9811,0.7029,15,21,0.6071,0.25762,0.09755,0.1248,1.2415,0.09755,51524,0.67021,0.8027,1.0,0.145,1.2413,,,,,,,
S,1,0.1,0,0,0.1,32,4,0,0.7623,0.9823,0.0958,23,23,0.6311,0.34036,0.73391,0.0501,0.876,0.73391,68073,1.0,1.0,1.0,0.8665,0.9646,,,,,,,
S,1,0.1,0,0,0.1,32,5,1,0.9874,0.986,0.7345,22,15,0.6073,0.2056,0.12397,0.0915,1.1977,0.12397,41120,0.47598,0.5742,1.0,0.1065,1.1977,,,,,,,
S,1,0.1,0,0,0.1,32,6,0,0.7738,0.9707,0.2142,4,4,0.6224,0.34702,0.7241,0.052,0.8658,0.7241,69405,1.0,1.0,1.0,0.8536,0.9759,,,,,,,
S,1,0.1,0,0,0.1,32,7,1,0.9827,0.9838,0.7285,16,19,0.6113,0.24051,0.10426,0.1074,1.2049,0.10426,48102,0.58716,0.7104,1.0,0.1256,1.205,,,,,,,
S,1,0.1,0,0,0.1,32,8,1,0.9934,0.9733,0.7557,31,14,0.6057,0.25873,0.09816,0.1167,1.2307,0.09816,51747,0.64297,0.7747,1.0,0.1376,1.2313,,,,,,,
S,1,0.1,0,0,0.1,32,9,1,0.9851,0.9847,0.7585,3,30,0.6075,0.25778,0.09722,0.1134,1.2109,0.09722,51557,0.63658,0.761,1.0,0.1344,1.2106,,,,,,,
S,1,0.1,0,0,0.1,32,10,1,0.9869,0.9756,0.7721,13,10,0.6061,0.25327,0.09976,0.1064,1.2103,0.09976,50655,0.59849,0.7232,1.0,0.1269,1.2103,,,,,,,
S,1,0.1,0,0,0.1,32,11,1,0.989,0.9852,0.772,30,4,0.6077,0.22065,0.11616,0.0925,1.1863,0.11616,44131,0.49986,0.6062,1.0,0.1089,1.1863,,,,,,,
S,1,0.1,0,0,0.1,32,12,1,0.9859,0.9804,0.7636,8,9,0.6115,0.25515,0.0964,0.1072,1.209,0.0964,51030,0.60589,0.7369,1.0,0.1279,1.2089,,,,,,,
S,1,0.1,0,0,0.1,32,13,1,0.9909,0.9862,0.7402,5,24,0.6079,0.22094,0.11438,0.0988,1.2172,0.11438,44188,0.53011,0.6468,1.0,0.1147,1.2172,,,,,,,
S,1,0.1,0,0,0.1,32,14,1,0.9932,0.9901,0.7112,21,14,0.6037,0.21815,0.11429,0.1008,1.2263,0.11429,43629,0.52259,0.6402,1.0,0.1165,1.2263,,,,,,,
S,1,0.1,0,0,0.1,32,15,1,0.9951,0.9765,0.7357,17,24,0.6117,0.26214,0.0961,0.1198,1.2324,0.0961,52427,0.65141,0.7887,1.0,0.1413,1.2325,,,,,,,
S,1,0.1,0,0,0.2,32,0,0,0.9569,0.9217,0.6968,18,27,1.9258,0.45898,0.16736,0.1979,0.7342,0.16736,91797,0.70063,0.9306,1.0,0.3412,1.1999,,,,,,,
S,1,0.1,0,0,0.2,32,1,0,0.8177,0.9689,0.923,30,13,1.9156,0.42568,0.12316,0.1348,0.6718,0.12316,85137,0.56405,0.5649,1.0,0.1744,0.9762,,,,,,,
S,1,0.1,0,0,0.2,32,2,0,0.893,0.9722,0.9042,4,9,1.9238,0.43049,0.12199,0.1447,0.7246,0.12199,86097,0.601,0.6874,1.0,0.2053,1.0675,,,,,,,
