gamma,eps,seed,child_latent_angle_deg,top_1_rho,top_1_phi_deg,top_2_rho,top_2_phi_deg,top_3_rho,top_3_phi_deg,top_4_rho,top_4_phi_deg,top_5_rho,top_5_phi_deg
0.1,0.01,6,46.96479034423828,0.9909224510192871,46.964786529541016,0.9819821715354919,-2.163550615310669,0.07685970515012741,43.89333724975586,0.06520005315542221,-1.6178234815597534,0.06518983840942383,167.69158935546875
0.1,0.01,7,46.99135208129883,0.9909295439720154,46.99135208129883,0.9821550250053406,-2.061507225036621,0.07671678811311722,41.46695327758789,0.0665077269077301,168.9321746826172,0.06432774662971497,161.3548583984375
0.1,0.02,0,47.86947250366211,0.991533100605011,47.86947250366211,0.98385089635849,-2.9811794757843018,0.07958368211984634,45.697418212890625,0.07440926879644394,166.34042358398438,0.06890882551670074,159.6458282470703
0.1,0.02,1,68.34608459472656,0.9890311360359192,68.34608459472656,0.97579425573349,-0.29599711298942566,0.0786026120185852,-8.210593223571777,0.06974094361066818,41.06584167480469,0.06873451173305511,168.48214721679688
0.1,0.02,2,72.48468780517578,0.9862210750579834,72.48468780517578,0.974977970123291,-0.23657988011837006,0.08142350614070892,-6.8037109375,0.07815966010093689,42.390647888183594,0.06766240298748016,162.50161743164062
0.1,0.02,3,48.92223358154297,0.9914275407791138,48.92223358154297,0.9831746220588684,-2.8493781089782715,0.07995662093162537,44.130550384521484,0.07180585712194443,167.0637664794922,0.06967803835868835,159.9930877685547
0.1,0.02,4,68.47361755371094,0.9888298511505127,68.47361755371094,0.9757730960845947,-0.3944101333618164,0.07694420963525772,-9.237457275390625,0.07132502645254135,40.014671325683594,0.07078839838504791,168.7981719970703
0.1,0.02,5,73.0641860961914,0.9859023094177246,73.0641860961914,0.9732677936553955,0.4987228214740753,0.0841028168797493,41.085052490234375,0.07662171125411987,-9.174528121948242,0.06706614792346954,161.3585662841797
0.1,0.02,6,48.99888610839844,0.9910717606544495,48.99888229370117,0.9828386306762695,-2.7893736362457275,0.07293505221605301,-3.5953288078308105,0.07258635014295578,165.89892578125,0.07035362720489502,44.83746337890625
0.1,0.02,7,72.65808868408203,0.9864481091499329,72.65808868408203,0.973747968673706,0.42342332005500793,0.07923756539821625,-9.594583511352539,0.07854164391756058,40.415077209472656,0.06985802203416824,169.35116577148438
0.1,0.03,0,75.40413665771484,0.9851550459861755,75.40413665771484,0.9745103716850281,0.22356942296028137,0.08055379241704941,-8.315356254577637,0.07620533555746078,42.734588623046875,0.0730571448802948,166.61111450195312
